flow_no,inter_pkt_arrival,duration,connection_status,land,no_of_wrong_frags,no_of_urgent,src_port,dst_port,src_ip,dst_ip,src_mac,dst_mac,src_bytes,dst_bytes,minfpktl,meanfpktl,maxfpktl,stdfpktl,minbpktl,meanbpktl,maxbpktl,stdbpktl,minfiat,meanfiat,maxfiat,stdfiat,minbiat,meanbiat,maxbiat,stdbiat,protocol,fpackets,bpackets
0,0.0,0.000000000,0,0,1,0,59906,23125,192.168.20.106,181.53.42.159,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,614239453,2801073446,71,71.0,71,0.0,999999,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,eth:ethertype:ip:tcp:data,1,0
1,0.0,0.000000000,0,0,1,0,54742,5675,192.168.20.106,197.210.47.237,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,2927498289,153421843,54,54.0,54,0.0,999999,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,eth:ethertype:ip:tcp,1,0
2,0.10035772081218282,19.770471000,0,0,197,0,45946,10720,192.168.20.106,77.134.147.210,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,2722136485,3791297448,54,62.36904761904762,207,26797812.60714288,54,1356.1946902654868,4410,23072136956.24776,0.0,0.15436158333333325,1.990813,12.819417432381153,-4.7e-05,0.060213256637168144,0.328746,6.744679522913704,eth:ethertype:ip:tcp:data,84,113
3,0.1136746397849462,21.143483000,0,0,186,0,51315,36256,177.30.73.89,192.168.20.106,00:60:64:ef:aa:ae,0c:8b:fd:18:40:2f,2416780806,791902519,66,1396.2072072072071,4386,23588069869.7477,66,70.16,102,26955263.27999999,0.0,0.10838227927927933,0.974715,11.924513910538767,1.2e-05,0.12150733333333336,1.662488,8.99927647674025,eth:ethertype:ip:tcp,111,75
4,0.10534470408163264,20.647562000,0,0,196,0,60058,40646,192.168.20.106,86.99.92.130,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,1500027817,1602514119,66,72.58823529411765,178,37178739.36470587,66,1396.7027027027027,5826,23605253527.83785,0.0,0.16501838823529416,1.757168,13.868566057756151,-2.8e-05,0.05964863963963966,0.419633,6.56214921270552,eth:ethertype:ip:tcp:data,85,111
5,0.5807733333333334,1.742320000,0,0,3,0,39748,44254,103.254.204.73,192.168.20.106,00:60:64:ef:aa:ae,0c:8b:fd:18:40:2f,1284889246,1785248520,66,66.0,66,4356.0,66,66.0,66,0.0,0.0,0.87114,1.74228,1.2319780027256981,4e-05,4e-05,4e-05,0.0,eth:ethertype:ip:tcp,2,1
6,0.0,0.000000000,0,0,1,0,35096,54057,192.168.20.106,46.97.170.67,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,173683409,3959189078,54,54.0,54,0.0,999999,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,eth:ethertype:ip:tcp,1,0
7,0.0,0.000000000,0,0,1,0,40872,39293,192.168.20.106,41.73.107.121,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,1182550296,2775904417,54,54.0,54,0.0,999999,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,eth:ethertype:ip:tcp,1,0
8,0.12906950931677025,20.780191000,0,0,161,0,35620,62442,192.168.20.106,111.220.174.36,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,1740471783,236036003,54,63.0,180,9529915.680000005,54,1383.4864864864865,14174,23161627889.567566,0.0,0.15550410000000003,1.434232,7.628458051303061,1e-06,0.11716203603603609,0.860836,12.889802268334796,eth:ethertype:ip:tcp:data,50,111
9,0.5480189411764708,18.632644000,0,0,34,0,56632,6881,192.168.20.106,39.37.132.3,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,1785098338,2944424171,66,90.88235294117646,210,2116359.5294117653,66,66.94117647058823,78,1147175.5294117646,0.0,0.9600943529411765,6.7929,15.450180790906646,0.057905,0.1359435294117647,0.366294,2.1763359505431303,eth:ethertype:ip:tcp:bittorrent,17,17
10,0.0495285,0.099057000,0,0,2,0,33498,443,192.168.20.106,172.217.19.165,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,1115071490,174121940,66,66.0,66,0.0,66,66.0,66,0.0,0.0,0.0,0,0.0,0.099057,0.099057,0.099057,0.0,eth:ethertype:ip:tcp,1,1
11,0.0,0.000000000,0,0,1,0,61510,46664,103.247.51.185,192.168.20.106,00:60:64:ef:aa:ae,0c:8b:fd:18:40:2f,3552972727,4174801480,66,66.0,66,0.0,999999,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,eth:ethertype:ip:tcp,1,0
12,0.10365999999999999,0.310980000,0,0,3,0,59604,8426,192.168.20.106,197.253.66.36,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,2958316973,2435448218,54,54.0,54,2916.0,58,58.0,58,0.0,0.0,1.35e-05,2.7e-05,1.9091883092036783e-05,0.310953,0.310953,0.310953,0.0,eth:ethertype:ip:tcp,2,1
13,0.0986935590909091,21.712583000,0,0,220,0,14717,43706,5.151.87.107,192.168.20.106,00:60:64:ef:aa:ae,0c:8b:fd:18:40:2f,1751132884,1449736393,54,1419.8095238095239,4410,31498161256.714363,54,61.07446808510638,193,32261889.81914894,-7.4e-05,0.07605485714285716,0.76104,9.508023381736555,1.4e-05,0.12903905319148937,3.414889,12.010281941880775,eth:ethertype:ip:tcp:data,126,94
14,0.08972942731277524,20.368580000,0,0,227,0,58178,12760,192.168.20.106,115.69.162.57,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,1723318355,1450821605,54,61.81521739130435,148,31642847.14130435,54,1387.6444444444444,2958,34575567489.14071,0.0,0.1037106847826087,1.989258,9.444692345004455,-6e-05,0.08020145925925927,0.78282,10.748703780241652,eth:ethertype:ip:tcp:data,92,135
15,0.0,0.000000000,0,0,1,0,45682,35426,45.121.91.159,192.168.20.106,00:60:64:ef:aa:ae,0c:8b:fd:18:40:2f,365726301,3215066750,66,66.0,66,0.0,999999,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,eth:ethertype:ip:tcp,1,0
